ts,temperature,humidity,mq5_raw,mq5_index
2026-04-26T05:43:27.712Z,26,18,140,0.549
2026-04-26T05:43:33.170Z,26,18,139,0.545
2026-04-26T05:43:38.640Z,26,18,139,0.545
2026-04-26T05:43:44.106Z,26,18,139,0.545
2026-04-26T05:43:49.578Z,26,18,139,0.545
2026-04-26T05:43:55.043Z,26,18,140,0.549
2026-04-26T05:44:00.516Z,26,18,139,0.545
2026-04-26T05:44:05.987Z,26,18,141,0.553
2026-04-26T05:44:11.467Z,26,18,140,0.549
2026-04-26T05:44:16.914Z,26,18,139,0.545
2026-04-26T05:44:22.397Z,26,18,140,0.549
2026-04-26T05:44:27.868Z,26,18,139,0.545
2026-04-26T05:44:33.355Z,26,19,141,0.553
2026-04-26T05:44:38.824Z,26,18,140,0.549
2026-04-26T05:44:44.300Z,26,18,139,0.545
2026-04-26T05:44:49.768Z,26,19,142,0.557
2026-04-26T05:44:55.255Z,26,19,139,0.545
2026-04-26T05:45:00.732Z,26,19,139,0.545
2026-04-26T05:45:06.205Z,26,19,136,0.533
2026-04-26T05:45:11.673Z,26,19,134,0.525
2026-04-26T05:45:17.145Z,26,19,135,0.529
2026-04-26T05:45:22.623Z,26,19,137,0.537
2026-04-26T05:45:28.111Z,26,19,134,0.525
2026-04-26T05:45:33.584Z,26,19,138,0.541
2026-04-26T05:45:39.054Z,26,19,139,0.545
2026-04-26T05:45:44.526Z,26,19,137,0.537
2026-04-26T05:45:50.010Z,26,19,137,0.537
2026-04-26T05:45:55.481Z,26,19,140,0.549
2026-04-26T05:46:00.956Z,26,19,139,0.545
2026-04-26T05:46:06.430Z,26,19,139,0.545
2026-04-26T05:46:11.888Z,26,19,137,0.537
2026-04-26T05:46:17.358Z,26,19,140,0.549
2026-04-26T05:46:22.839Z,26,19,140,0.549
2026-04-26T05:46:28.315Z,26,19,140,0.549
2026-04-26T05:46:35.406Z,26,20,140,0.549
2026-04-26T05:46:40.859Z,26,19,139,0.545
2026-04-26T05:46:46.314Z,26,19,138,0.541
2026-04-26T05:46:51.761Z,26,19,140,0.549
2026-04-26T05:46:57.230Z,26,19,137,0.537
2026-04-26T05:47:02.692Z,26,19,140,0.549
2026-04-26T05:47:08.169Z,26,19,140,0.549
2026-04-26T05:47:13.636Z,26,19,140,0.549
2026-04-26T05:47:19.106Z,26,19,138,0.541
2026-04-26T05:47:24.592Z,26,19,140,0.549
2026-04-26T05:47:30.083Z,26,19,139,0.545
2026-04-26T05:47:35.552Z,26,19,139,0.545
2026-04-26T05:47:41.024Z,26,19,140,0.549
2026-04-26T05:47:46.490Z,26,19,138,0.541
2026-04-26T05:47:51.958Z,26,19,137,0.537
2026-04-26T05:47:57.416Z,26,19,140,0.549
2026-04-26T05:48:02.872Z,26,19,137,0.537
2026-04-26T05:48:08.336Z,26,19,140,0.549
2026-04-26T05:48:13.800Z,26,19,137,0.537
2026-04-26T05:48:19.265Z,26,19,140,0.549
2026-04-26T05:48:24.712Z,26,19,137,0.537
2026-04-26T05:48:30.181Z,26,19,140,0.549
2026-04-26T05:48:35.648Z,26,19,140,0.549
2026-04-26T05:48:41.096Z,26,20,140,0.549
2026-04-26T05:48:46.570Z,26,19,138,0.541
2026-04-26T05:48:52.050Z,26,19,137,0.537
2026-04-26T05:48:57.523Z,26,19,137,0.537
2026-04-26T05:49:02.993Z,26,19,139,0.545
2026-04-26T05:49:08.464Z,26,19,139,0.545
2026-04-26T05:49:13.934Z,26,19,140,0.549
2026-04-26T05:49:19.409Z,26,19,138,0.541
2026-04-26T05:49:24.881Z,26,19,138,0.541
2026-04-26T05:49:30.353Z,26,19,138,0.541
2026-04-26T05:49:35.807Z,26,19,140,0.549
2026-04-26T05:49:41.272Z,26,19,139,0.545
2026-04-26T05:49:46.737Z,26,19,137,0.537
2026-04-26T05:49:52.207Z,26,19,139,0.545
2026-04-26T05:49:57.662Z,26,19,135,0.529
2026-04-26T05:50:03.127Z,26,19,137,0.537
2026-04-26T05:50:08.594Z,26,19,139,0.545
2026-04-26T05:50:14.062Z,26,19,140,0.549
2026-04-26T05:50:19.532Z,26,19,138,0.541
2026-04-26T05:50:25.000Z,26,19,141,0.553
2026-04-26T05:50:30.474Z,26,19,140,0.549
2026-04-26T05:50:35.955Z,26,19,140,0.549
2026-04-26T05:50:41.430Z,26,19,141,0.553
2026-04-26T05:50:46.898Z,26,19,140,0.549
2026-04-26T05:50:52.379Z,26,19,140,0.549
2026-04-26T05:50:57.851Z,26,19,140,0.549
2026-04-26T05:51:03.320Z,26,19,138,0.541
2026-04-26T05:51:08.787Z,26,19,138,0.541
2026-04-26T05:51:14.259Z,26,19,140,0.549
2026-04-26T05:51:19.729Z,26,19,138,0.541
2026-04-26T05:51:26.817Z,26,20,141,0.553
2026-04-26T05:51:32.297Z,26,19,139,0.545
2026-04-26T05:51:37.752Z,26,19,139,0.545
2026-04-26T05:51:43.195Z,26,19,140,0.549
2026-04-26T05:51:48.654Z,26,19,139,0.545
2026-04-26T05:51:54.112Z,26,19,139,0.545
2026-04-26T05:51:59.567Z,26,19,138,0.541
2026-04-26T05:52:05.014Z,26,19,138,0.541
2026-04-26T05:52:10.479Z,26,19,140,0.549
2026-04-26T05:52:15.927Z,26,19,141,0.553
2026-04-26T05:52:21.398Z,26,19,139,0.545
2026-04-26T05:52:26.865Z,26,19,140,0.549
2026-04-26T05:52:32.359Z,26,19,140,0.549
2026-04-26T05:52:37.812Z,26,19,140,0.549
2026-04-26T05:52:43.285Z,26,19,141,0.553
2026-04-26T05:52:48.753Z,26,19,140,0.549
2026-04-26T05:52:54.239Z,26,19,139,0.545
2026-04-26T05:52:59.711Z,26,19,138,0.541
2026-04-26T05:53:05.172Z,26,19,138,0.541
2026-04-26T05:53:10.646Z,26,20,141,0.553
2026-04-26T05:53:16.107Z,26,19,140,0.549
2026-04-26T05:53:21.588Z,26,19,139,0.545
2026-04-26T05:53:27.057Z,26,19,140,0.549
2026-04-26T05:53:32.530Z,26,20,139,0.545
2026-04-26T05:53:37.989Z,26,19,139,0.545
2026-04-26T05:53:43.460Z,26,19,140,0.549
2026-04-26T05:53:48.937Z,26,19,139,0.545
2026-04-26T05:53:54.408Z,26,20,139,0.545
2026-04-26T05:53:59.862Z,26,19,141,0.553
2026-04-26T05:54:05.327Z,26,19,141,0.553
2026-04-26T05:54:10.794Z,26,19,140,0.549
2026-04-26T05:54:16.241Z,26,19,141,0.553
2026-04-26T05:54:21.712Z,26,19,131,0.514
2026-04-26T05:54:27.185Z,26,19,135,0.529
2026-04-26T05:54:32.663Z,26,19,137,0.537
2026-04-26T05:54:38.135Z,26,19,138,0.541
2026-04-26T05:54:43.600Z,26,19,136,0.533
2026-04-26T05:54:49.075Z,26,19,135,0.529
2026-04-26T05:54:54.539Z,26,19,135,0.529
2026-04-26T05:54:59.988Z,26,19,139,0.545
2026-04-26T05:55:05.450Z,26,19,139,0.545
2026-04-26T05:55:10.895Z,26,19,140,0.549
2026-04-26T05:55:16.365Z,26,19,141,0.553
2026-04-26T05:55:21.843Z,26,19,140,0.549
2026-04-26T05:55:27.311Z,26,19,142,0.557
2026-04-26T05:55:32.758Z,26,19,140,0.549
2026-04-26T05:55:38.223Z,26,19,143,0.561
2026-04-26T05:55:43.714Z,26,19,143,0.561
2026-04-26T05:55:49.185Z,26,19,140,0.549
2026-04-26T05:55:54.656Z,26,19,141,0.553
2026-04-26T05:56:00.117Z,26,19,141,0.553
2026-04-26T05:56:05.594Z,26,19,142,0.557
2026-04-26T05:56:11.062Z,26,19,140,0.549
2026-04-26T05:56:16.522Z,26,19,140,0.549
2026-04-26T05:56:21.986Z,26,19,143,0.561
2026-04-26T05:56:27.455Z,26,19,142,0.557
2026-04-26T05:56:32.918Z,26,19,141,0.553
2026-04-26T05:56:38.392Z,26,19,140,0.549
2026-04-26T05:56:43.866Z,26,19,143,0.561
2026-04-26T05:56:49.340Z,26,19,142,0.557
2026-04-26T05:56:54.809Z,26,19,141,0.553
2026-04-26T05:57:00.279Z,26,19,143,0.561
2026-04-26T05:57:05.746Z,26,19,141,0.553
2026-04-26T05:57:12.826Z,26,20,142,0.557
2026-04-26T05:57:18.289Z,26,19,143,0.561
2026-04-26T05:57:23.757Z,26,19,143,0.561
2026-04-26T05:57:29.222Z,26,19,140,0.549
2026-04-26T05:57:34.691Z,26,19,141,0.553
2026-04-26T05:57:40.166Z,26,19,143,0.561
2026-04-26T05:57:45.644Z,26,19,143,0.561
2026-04-26T05:57:51.122Z,26,19,143,0.561
2026-04-26T05:57:56.595Z,26,19,140,0.549
2026-04-26T05:58:02.044Z,26,19,143,0.561
2026-04-26T05:58:07.502Z,26,19,141,0.553
2026-04-26T05:58:12.974Z,26,19,143,0.561
2026-04-26T05:58:18.450Z,26,19,143,0.561
2026-04-26T05:58:23.919Z,26,19,140,0.549
2026-04-26T05:58:29.383Z,26,19,140,0.549
2026-04-26T05:58:34.854Z,26,19,140,0.549
2026-04-26T05:58:40.320Z,26,19,143,0.561
2026-04-26T05:58:45.788Z,26,19,140,0.549
2026-04-26T05:58:51.257Z,26,19,143,0.561
2026-04-26T05:58:56.727Z,26,19,142,0.557
2026-04-26T05:59:02.198Z,26,19,140,0.549
2026-04-26T05:59:07.670Z,26,19,140,0.549
2026-04-26T05:59:13.136Z,26,19,142,0.557
2026-04-26T05:59:18.616Z,26,19,141,0.553
2026-04-26T05:59:24.095Z,26,19,141,0.553
2026-04-26T05:59:29.572Z,26,19,142,0.557
2026-04-26T05:59:35.038Z,26,19,143,0.561
2026-04-26T05:59:40.513Z,26,19,143,0.561
2026-04-26T05:59:45.985Z,26,19,143,0.561
2026-04-26T05:59:51.454Z,26,19,140,0.549
2026-04-26T05:59:56.922Z,26,19,143,0.561
2026-04-26T06:00:02.393Z,26,19,142,0.557
2026-04-26T06:00:07.857Z,26,19,141,0.553
2026-04-26T06:00:13.335Z,26,19,141,0.553
2026-04-26T06:00:18.805Z,26,19,143,0.561
2026-04-26T06:00:24.277Z,26,19,142,0.557
2026-04-26T06:00:29.748Z,26,19,141,0.553
2026-04-26T06:00:35.226Z,26,19,143,0.561
2026-04-26T06:00:40.688Z,26,20,140,0.549
2026-04-26T06:00:46.162Z,26,19,141,0.553
2026-04-26T06:00:51.623Z,26,19,142,0.557
2026-04-26T06:00:57.087Z,26,19,142,0.557
2026-04-26T06:01:02.555Z,26,19,142,0.557
2026-04-26T06:01:08.047Z,26,19,143,0.561
2026-04-26T06:01:13.518Z,26,19,143,0.561
2026-04-26T06:01:18.995Z,26,19,141,0.553
2026-04-26T06:01:24.462Z,26,19,143,0.561
2026-04-26T06:01:29.932Z,26,20,142,0.557
